Player,Pos,Age,Tm,G,MPG,PPA
Frank Ntilikina,PG,24,DAL,36,12,-6
Chris Silva,PF,26,DAL,1,3,-155
Nikola Jokić,C,27,DEN,51,33.6,240
Aaron Gordon,PF,27,DEN,49,30.3,192
Jamal Murray,PG,25,DEN,45,32.5,158
Michael Porter Jr.,SF,24,DEN,42,29.4,144
Kentavious Caldwell-Pope,SG,29,DEN,56,31.4,113
Bruce Brown,SG,26,DEN,58,28.8,100
Zeke Nnaji,PF,22,DEN,44,13.3,81
Vlatko Čančar,PF,25,DEN,44,16,79
Thomas Bryant,C,25,DEN,3,10,75
Bones Hyland,PG,22,DEN,42,19.5,74
DeAndre Jordan,C,34,DEN,34,14.6,67
Christian Braun,SF,21,DEN,54,15.4,61
Peyton Watson,SG,20,DEN,12,3.2,54
Jeff Green,PF,36,DEN,37,19.2,49
Davon Reed,SG,27,DEN,35,9,14
Ish Smith,PG,34,DEN,30,10.4,14
Jack White,SF,25,DEN,14,3.1,10
Stanley Umude,SG,23,DET,1,2,382
Bojan Bogdanović,PF,33,DET,56,32.1,127
Marvin Bagley III,PF,23,DET,25,21.3,123
Braxton Key,SF,25,DET,3,3,111
Jalen Duren,C,19,DET,51,25.2,109
Saddiq Bey,SF,23,DET,52,28.8,103
Alec Burks,SG,31,DET,46,22.1,98
Isaiah Stewart,C,21,DET,48,28.5,80
Hamidou Diallo,SG,24,DET,50,16.8,79
Cade Cunningham,PG,21,DET,12,33.3,72
James Wiseman,C,21,DET,1,24,65
Jaden Ivey,SG,20,DET,55,30.1,61
Rodney McGruder,SG,31,DET,21,10.3,56
Cory Joseph,PG,31,DET,40,15.8,53
Killian Hayes,PG,21,DET,55,26.7,52
Kevin Knox,PF,23,DET,42,14.1,50
Isaiah Livers,PF,24,DET,37,21.1,43
Nerlens Noel,C,28,DET,14,10.9,41
Buddy Boeheim,PG,23,DET,1,1,0
Jared Rhoden,SG,23,DET,1,12,-71
Stephen Curry,PG,34,GSW,38,34.6,223
Kevon Looney,C,26,GSW,58,23.3,148
Andrew Wiggins,SF,27,GSW,37,32.2,132
Klay Thompson,SG,32,GSW,46,32.8,115
Draymond Green,PF,32,GSW,52,31.7,111
